"usual_place_healthcare","healthcare_facility_type","awareness_of_clinics","num_ER_visits_past_year","time_since_last_checkup","asthma_in_household","high_bp_in_household","overweight_in_household","depression_in_household","anxiety_in_household","diabetes_in_household","health_insurance_barrier","language_barrier","transportation_availability","doctor_availability","wait_time_barrier","health_coverage","medicaid_medicare_coverage","needed_doctor_but_could_not_due_to_cost","prescription_medication_affordability","trust_in_healthcare_system","difficulty_understanding_written_medical_info","difficulty_understanding_verbal_medical_info","time_since_last_dental_visit","dental_insurance_coverage","forgone_dental_care_due_to_cost","safe_spaces_for_children_after_school","housing_insecurity","feeling_nervous_anxious","unable_to_control_worrying","lack_interest_pleasure","feeling_down_depressed","primary_language_spoken","home_ownership_status","highest_education_level","age","race_ethnicity","income_category","gender_identity","home_ownership","primary_language","received_services_at_catherines","satisfaction_with_catherines","barriers_to_using_catherines","lives_in_zipcode_49548"
"No",NA,"Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","2","Less than 1 year","No one","Respondent","Respondent","Respondent","No one","No one","Agree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","Yes","Slightly distrust","Sometimes","Never","Less than 1 year","No","Yes","No","Yes","Several days","Nearly every day","More than half the days","Nearly every day","English","Rent","High school diploma / GED","47","Hispanic / Latino / Spanish origin","$15,000 - $19,999","Female","Rent","English","Yes","Satisfied","","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Corewell Urgent Care","3","Less than 1 year","Household member","Respondent,Household member","No one","No one","No one","Household member","Disagree","Agree","Agree","Neutral","Agree","Yes","Medicaid only","No","No","Completely trust","Always","Always","More than 5 years","No","No","Yes","No","Several days","Not at all","Not at all","Not at all","Other","Own","High school diploma / GED","48","Asian","$25,000 - $34,999","Female","Own","Other","No","Very satisfied","Don’t know / Not sure","Don’t know / Not sure"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","Respondent","No one","Household member","Household member","Respondent","Disagree","Disagree","Agree","Agree","Disagree","Yes","No","No","No","Slightly trust","Occasionally","Occasionally","Less than 1 year","Yes","No","Yes","No","Several days","Several days","Not at all","Several days","English","Own","Some college","58","Black / African-American","Refused","Female","Own","English","Yes","Satisfied","","No"
"Yes","Doctor’s office or HMO","Corewell Urgent Care","2","Less than 1 year","Respondent","Respondent,Household member","Respondent","Respondent,Household member","Respondent","Respondent,Household member","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Completely trust","Never","Sometimes","Don’t know / Not sure","Yes","No","Yes","Yes","Nearly every day","Nearly every day","Nearly every day","Nearly every day","English","Rent","High school diploma / GED","51","White / Caucasian","Don’t know / Not sure","Female","Rent","English","No","Very satisfied","Lack of information","No"
"Yes","Clinic or health center","Catherine’s Health Center,Corewell Urgent Care","2","Less than 1 year","No one","No one","No one","No one","No one","No one","Agree","Disagree","Disagree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","Yes","Several days","Several days","Several days","Not at all","English","Own","Some college","36","White / Caucasian,Black / African-American","Don’t know / Not sure","Female","Own","English","Yes","Very satisfied","","Yes"
"Yes","Doctor’s office or HMO","Corewell Urgent Care","0","Less than 1 year","Household member","No one","No one","No one","No one","No one","Agree","Agree","Agree","Agree","Disagree","Yes","No","No","No","Slightly trust","Never","Never","Don’t know / Not sure","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","Other","Rent","High school diploma / GED","30","Asian","$35,000 - $49,999","Female","Rent","Other","No","Satisfied","Other","Yes"
"Yes","Hospital ER","Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","No one","No one","No one","Household member","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","Yes","Slightly trust","Occasionally","Sometimes","Less than 1 year","Yes","No","Yes","Yes","More than half the days","More than half the days","Nearly every day","Not at all","English","Rent","High school diploma / GED","29","Black / African-American","Don’t know / Not sure","Female","Rent","English","No","Very satisfied","Lack of information","Yes"
"Yes","Doctor’s office or HMO","Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly distrust","Never","Never","Less than 1 year","Yes","No","No","Yes","More than half the days","Nearly every day","Not at all","Not at all","English","Own","Some college","27","Black / African-American","$35,000 - $49,999","Female","Own","English","No",NA,"Lack of information","No"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","Respondent","No one","Respondent,Household member","Respondent,Household member","Respondent,Household member","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","Yes","Slightly distrust","Never","Never","1-2 years","Yes","Yes","No","Yes","More than half the days","More than half the days","Not at all","Several days","English","Rent","Some college","47","White / Caucasian","$25,000 - $34,999","Female","Rent","English","No",NA,"Lack of information","No"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Household member","No one","Household member","Household member","Household member","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","Yes","Slightly trust","Often","Sometimes","1-2 years","Yes","No","Yes","Yes","Nearly every day","Nearly every day","More than half the days","Several days","English","Own","Some college","40","White / Caucasian","Less than $10,000","Female","Own","English","No","Satisfied","Other","No"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","Household member","Household member","Respondent","Respondent,Household member","Respondent,Household member","No one","Agree","Disagree","Agree","Disagree","Neutral","Yes","No","Yes","Yes","Slightly distrust","Always","Often","2-5 years","Yes","Yes","Don’t know / Not sure","Yes","More than half the days","More than half the days","More than half the days","Nearly every day","English","Own","Associate or technical degree","30","White / Caucasian","$50,000 - $74,999","Female","Own","English","No","Refused","Lack of information","No"
"Yes","Doctor’s office or HMO","Corewell Urgent Care","1","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Slightly trust","Sometimes","Sometimes","1-2 years","No","Yes","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","75","White / Caucasian","$25,000 - $34,999","Male","Own","English","No",NA,"Lack of information,Other","No"
"Yes","Clinic or health center","Catherine’s Health Center,Corewell Urgent Care","0","Less than 1 year","No one","Household member","No one","No one","No one","Household member","Agree","Disagree","Neutral","Disagree","Agree","Yes","No","No","No","Neither trust nor distrust","Sometimes","Sometimes","Less than 1 year","No","Yes","No","No","Not at all","Not at all","Not at all","Not at all","Other","Own","High school diploma / GED","61","Asian","Refused","Female","Own","Other","Yes","Very satisfied","","Yes"
"No",NA,"Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","1","Less than 1 year","Don’t know / Refused","No one","Respondent,Household member","Respondent,Household member","Respondent","Respondent","Agree","Disagree","Agree","Agree","Agree","Yes","Both","Yes","No","Neither trust nor distrust","Occasionally","Always","More than 5 years","Yes","No","Yes","Yes","Nearly every day","Nearly every day","Nearly every day","More than half the days","English","Own","High school diploma / GED","55","White / Caucasian","$20,000 - $24,999","Female","Own","English","No",NA,"Other","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","1","Less than 1 year","Respondent","Respondent,Household member","Respondent,Household member","Respondent,Household member","Respondent,Household member","Respondent","Disagree","Disagree","Agree","Agree","Disagree","Yes","Both","Yes","Yes","Completely trust","Occasionally","Never","1-2 years","Yes","Yes","Yes","Yes","More than half the days","Nearly every day","Several days","Nearly every day","English","Own","Associate or technical degree","60","White / Caucasian","$10,000 - $14,999","Female","Own","English","Yes","Very satisfied","","Yes"
"Yes","Clinic or health center","Corewell Urgent Care","0","Less than 1 year","Don’t know / Refused","Respondent","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Agree","Agree","Agree","Agree","Disagree","Yes","Both","No","No","Completely trust","Never","Never","Never","No","No","No","No","Not at all","Not at all","Not at all","Not at all","Vietnamese","Rent","9th-11th grade","97","Asian","Less than $10,000","Female","Rent","Vietnamese","Yes","Very satisfied","","Yes"
"Yes","Clinic or health center","Corewell Urgent Care","0","Less than 1 year","Don’t know / Refused","Respondent","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Agree","Agree","Neutral","Agree","Neutral","Yes","Medicare only","No","No","Completely trust","Occasionally","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","Vietnamese","Own","High school diploma / GED","67","Asian","$10,000 - $14,999","Male","Own","Vietnamese","Yes","Very satisfied","","Yes"
"Yes","Clinic or health center","None of these","0","Less than 1 year","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Agree","Disagree","Agree","Agree","Neutral","Yes","Both","No","No","Completely trust","Never","Never","Less than 1 year","Yes","Refused","No","No","Not at all","Not at all","Not at all","Not at all","Vietnamese","Rent","Some college","75","Asian","Less than $10,000","Female","Rent","Vietnamese","Yes","Very satisfied","","Refused"
"Yes","Clinic or health center","Corewell Urgent Care","0","Less than 1 year","Respondent","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Don’t know / Refused","Agree","Agree","Agree","Agree","Disagree","Yes","Both","No","No","Completely trust","Never","Never","Never","Yes","No","No","No","Not at all","Not at all","Not at all","Not at all","Vietnamese","Own","Less than 6th grade","80","Asian","$10,000 - $14,999","Female","Own","Vietnamese","Yes","Very satisfied","","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","Less than 1 year","No one","Respondent","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Both","No","No","Completely trust","Never","Never","1-2 years","No","Don’t know / Not sure","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","Some college","89","White / Caucasian","Don’t know / Not sure","Male","Own","English","Yes","Satisfied","Refused","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Exalta Health,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","1","Less than 1 year","No one","Respondent,No one","Respondent,Household member","Respondent,Household member","Respondent,Household member","No one","Disagree","Disagree","Agree","Neutral","Disagree","Yes","No","No","Yes","Completely distrust","Occasionally","Never","More than 5 years","Yes","No","Don’t know / Not sure","Yes","Not at all","Not at all","Several days","Several days","English","Own","Bachelor's degree","44","White / Caucasian","Refused","Female","Own","English","No","Refused","Other","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","1","Less than 1 year","No one","Household member","No one","Household member","Respondent","Don’t know / Refused","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","61","White / Caucasian","$10,000 - $14,999","Male","Rent","English","Yes","Very satisfied","Other","Yes"
"Yes","Hospital ER","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","4","Less than 1 year","No one","No one","No one","Respondent","Respondent","No one","Agree","Disagree","Agree","Agree","Disagree","Yes","Medicare only","No","No","Completely trust","Sometimes","Sometimes","1-2 years","Yes","Yes","Yes","No","Nearly every day","Nearly every day","Several days","Several days","Spanish","Own","9th-11th grade","51","Hispanic / Latino / Spanish origin","Don’t know / Not sure","Female","Own","Spanish","Yes","Very satisfied","Other","Yes"
"Yes","Clinic or health center","Catherine’s Health Center,Cherry Street Clinic","0","2-5 years","No one","Respondent","Respondent,Household member","No one","No one","No one","Agree","Disagree","Agree","Agree","Agree","No","No","No","No","Completely trust","Occasionally","Never","Less than 1 year","No","Don’t know / Not sure","Don’t know / Not sure","Yes","Not at all","Not at all","Several days","Not at all","Spanish","Rent","High school diploma / GED","32 ","Hispanic / Latino / Spanish origin","Less than $10,000","Female","Rent","Spanish","No","Neither satisfied nor dissatisfied","Lack of insurance","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","4","Less than 1 year","Respondent","Respondent","Respondent","Respondent","Respondent","Respondent","Disagree","Disagree","Agree","Agree","Neutral","Yes","No","Yes","Yes","Slightly distrust","Always","Never","1-2 years","Yes","Yes","No","Yes","Not at all","Not at all","Not at all","Several days","English","Rent","High school diploma / GED","51","White / Caucasian","Don’t know / Not sure","Female","Rent","English","No","Don’t know / Not sure","Don’t know / Not sure","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Agree","Disagree","Neutral","Neutral","Neutral","Yes","No","No","No","Neither trust nor distrust","Never","Never","Less than 1 year","Yes","No","Yes","No","Several days","Not at all","Not at all","Not at all","English","Rent","Some college","38","Black / African-American","Refused","Female","Rent","English","Yes","Very satisfied","Other","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","2","Less than 1 year","No one","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Disagree","Yes","Medicaid only","No","No","Neither trust nor distrust","Never","Never","Less than 1 year","Yes","No","No","Yes","Not at all","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","32","Black / African-American","Less than $10,000","Female","Rent","English","Yes","Satisfied","","Yes"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria","6","1-2 years","Respondent,Household member","No one","Respondent","No one","Household member","Household member","Agree","Agree","Agree","Neutral","Disagree","Yes","Medicaid only","No","No","Slightly distrust","Often","Often","Less than 1 year","Yes","Yes","Don’t know / Not sure","Yes","Several days","Several days","Not at all","Not at all","English","Rent","High school diploma / GED","43","Hispanic / Latino / Spanish origin","$25,000 - $34,999","Female","Rent","English","No","Don’t know / Not sure","Other","Yes"
"Yes","Hospital ER","Cherry Street Clinic,Corewell Urgent Care","0","2-5 years","No one","Household member","No one","No one","No one","Household member","Agree","Disagree","Agree","Agree","Disagree","Yes","No","Yes","No","Completely trust","Never","Never","2-5 years","No","Yes","Yes","Yes","Not at all","Several days","Not at all","Not at all","Other","Own","Some college","32","Asian","$35,000 - $49,999","Female","Own","Other","Yes","Very satisfied","Other","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","Household member","Household member","No one","Agree","Disagree","Agree","Neutral","Disagree","Yes","Don’t know / Not sure","Yes","No","Slightly distrust","Never","Sometimes","Less than 1 year","Yes","No","Yes","No","Several days","Not at all","Not at all","Not at all","English","Own","Bachelor's degree","38","White / Caucasian","$35,000 - $49,999","Female","Own","English","No","Don’t know / Not sure","Other","Yes"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","0","Less than 1 year","Household member","No one","No one","No one","No one","No one","Neutral","Neutral","Agree","Agree","Neutral","Yes","No","No","Yes","Neither trust nor distrust","Occasionally","Occasionally","Less than 1 year","Yes","No","No","No","Not at all","Not at all","Not at all","Several days","English","Rent","Some college","42","Black / African-American","$25,000 - $34,999","Female","Rent","English","No",NA,"Other","No"
"No",NA,"Catherine’s Health Center","0","More than 5 years","Household member","No one","No one","No one","No one","No one","Agree","Disagree","Agree","Neutral","Agree","No","No","Yes","Yes","Don’t know / Not sure","Don’t know / Not sure","Don’t know / Not sure","More than 5 years","No","No","No","No","Not at all","Not at all","Not at all","Not at all","Spanish","Own","High school diploma / GED","39","Hispanic / Latino / Spanish origin","$50,000 - $74,999","Female","Own","Spanish","No",NA,"Lack of insurance","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Agree","Neutral","Agree","Agree","Disagree","Yes","No","No","No","Completely trust","Sometimes","Sometimes","Less than 1 year","Yes","Yes","Yes","No","More than half the days","Not at all","Not at all","Not at all","Other","Own","Some college","39","Asian","$35,000 - $49,999","Female","Own","Other","No",NA,"Other","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","No one","No one","No one","No one","No one","No one","Agree","Agree","Agree","Agree","Disagree","Yes","No","No","No","Completely trust","Never","Never","Less than 1 year","Yes","No","Yes","Yes","Not at all","Not at all","Not at all","Not at all","English","Rent","High school diploma / GED","34","Black / African-American","$35,000 - $49,999","Female","Rent","English","No",NA,"Other","No"
"Yes","Doctor’s office or HMO","Cherry Street Clinic,Clinica Santa Maria,Corewell Urgent Care","3","Less than 1 year","No one","Respondent","Respondent","Respondent","Respondent","No one","Disagree","Disagree","Agree","Neutral","Disagree","Yes","Medicaid only","No","Yes","Slightly distrust","Never","Never","Less than 1 year","Yes","Yes","Yes","Yes","More than half the days","Several days","Not at all","Not at all","English","Rent","Bachelor's degree","35","Black / African-American","$35,000 - $49,999","Female","Rent","English","No",NA,"Lack of information","No"
"Yes","Doctor’s office or HMO","Catherine’s Health Center,Cherry Street Clinic,Corewell Urgent Care","0","Less than 1 year","Household member","No one","No one","No one","No one","No one","Disagree","Disagree","Agree","Agree","Neutral","Yes","No","No","No","Slightly trust","Never","Never","Less than 1 year","Yes","No","Yes","No","Not at all","Not at all","Not at all","Not at all","English","Own","High school diploma / GED","29","Hispanic / Latino / Spanish origin","$75,000 or above","Female","Own","English","No",NA,"Lack of information,Other","Yes"
