QID6,QID7,QID8,QID9,QID12,QID89BH_1,QID89BH_2,QID89BH_3,QID89BH_4,QID89BH_5,QID89BH_6,Q16_1,Q16_4,Q16_6,Q16_7,Q16_9,QID20,QID21,QID22,QID26,QID200,QID201,QID202,QID29,QID30,QID31,QID204,QID208,Q34_1,Q34_2,Q34_3,Q34_4,QID44,QID44_3_TEXT,QID45,Q41,QID46,QID47,QID47_7_TEXT,QID49,QID91,QID91_4_TEXT,Q107,Q108,Q109,Q109_6_TEXT,Q110,QID52,QID212,Paper
Is there a place you usually go when you are sick or need advice about your health?,What kind of place is it?,Which of the following clinics or resources are you aware of? Check all that apply.,"During the past 12 months, how many times have you gone to a hospital emergency room about your own health (this includes emergency room visits that resulted in a hospital admission)?","About how long has it been since you last visited a doctor or clinic for a routine checkup? A routine checkup is a general physical exam, not an exam for a specific injury, illness, or condition.","Have you or anyone in your household ever been told by a doctor, nurse, or other health professional that you have the following health disease or condition? Check all that apply. - Asthma","Have you or anyone in your household ever been told by a doctor, nurse, or other health professional that you have the following health disease or condition? Check all that apply. - High Blood Pressure","Have you or anyone in your household ever been told by a doctor, nurse, or other health professional that you have the following health disease or condition? Check all that apply. - Overweight","Have you or anyone in your household ever been told by a doctor, nurse, or other health professional that you have the following health disease or condition? Check all that apply. - Depression","Have you or anyone in your household ever been told by a doctor, nurse, or other health professional that you have the following health disease or condition? Check all that apply. - Anxiety Disorder","Have you or anyone in your household ever been told by a doctor, nurse, or other health professional that you have the following health disease or condition? Check all that apply. - Diabetes","READ TO PARTICIPANT:
In this section you will be asked questions about barriers to receiving needed health care. I will be giving you a list of statements.  Let me know how well each one describes you or the people in your household using the following categories: Agree or true, Neutral or not sure, Disagree or not true. - Lack of health insurance prevents me from receiving the health care that I need.","READ TO PARTICIPANT:
In this section you will be asked questions about barriers to receiving needed health care. I will be giving you a list of statements.  Let me know how well each one describes you or the people in your household using the following categories: Agree or true, Neutral or not sure, Disagree or not true. - Language barriers prevent me from getting the health care that I need.","READ TO PARTICIPANT:
In this section you will be asked questions about barriers to receiving needed health care. I will be giving you a list of statements.  Let me know how well each one describes you or the people in your household using the following categories: Agree or true, Neutral or not sure, Disagree or not true. - I have transportation to get to needed health care.","READ TO PARTICIPANT:
In this section you will be asked questions about barriers to receiving needed health care. I will be giving you a list of statements.  Let me know how well each one describes you or the people in your household using the following categories: Agree or true, Neutral or not sure, Disagree or not true. - Doctors or nurses are available during hours that work for me.","READ TO PARTICIPANT:
In this section you will be asked questions about barriers to receiving needed health care. I will be giving you a list of statements.  Let me know how well each one describes you or the people in your household using the following categories: Agree or true, Neutral or not sure, Disagree or not true. - I have not received health care because it takes too long to get an appointment.","Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMO’s, or government plans such as Medicaid, Medicare, or Indian Health Services?",Do you personally have Medicaid or Medicare Insurance?,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,"During the past 12 months, was there any time when you needed prescription medications but didn't get it because of cost?","In general, how much do you trust the health care system as a whole?",How often do you have problems learning about your medical condition because of difficulty understanding written information (given by a health care provider)?,How often do you have a problem understanding what is told to you about your medical condition (by a health care provider)?,"How long has it been since you last visited a dentist or dental clinic for any reason? Include all types of dentists such as orthodontists, oral surgeons, dental specialists, as well as dental hygienists.","Do you have any kind of insurance coverage that pays for some or all of your routine dental care, including dental insurance, prepaid plans such as HMO's, or government plans such as Medicaid?","During the past 12 months, was there any time you needed dental care, but didn't get it because you couldn't afford it?",Do you feel like children in this neighborhood have access to safe spaces to play and be physically active after school (3-6pm)?,"During the past 12 months, was there a time when you were not able to pay your mortgage, rent or utility bills?","Now I am going to ask you a few questions about feelings you may be experiencing. Over the past 2 weeks, how often did you feel… - Felt nervous, anxious or on edge","Now I am going to ask you a few questions about feelings you may be experiencing. Over the past 2 weeks, how often did you feel… - Not been able to stop or control worrying","Now I am going to ask you a few questions about feelings you may be experiencing. Over the past 2 weeks, how often did you feel… - Felt little interest or pleasure in doing things","Now I am going to ask you a few questions about feelings you may be experiencing. Over the past 2 weeks, how often did you feel… - Felt down, depressed or hopeless",What is the primary language spoken in your home? - Selected Choice,What is the primary language spoken in your home? - Other - Text,Do you own this house or do you rent?,What is your highest level of education?,What is your age? (in years),What is your race or origin? Check all that apply. - Selected Choice,What is your race or origin? Check all that apply. - Other: - Text,What is your annual household income from all sources?,How would you describe your gender? - Selected Choice,How would you describe your gender? - Prefer to self-describe - Text,Have you received services at Catherine's Health Center at Streams?,Please rate your experience at Catherine's at Streams. Would you say you were:,What prevents you from utilizing Catherine's at Streams? Please check all that apply. - Selected Choice,What prevents you from utilizing Catherine's at Streams? Please check all that apply. - Other - Text,Do you live in zip code 49548?,Would you be interested in coming to these meetings to help us plan ways to improve the health of the Townline neighborhood?,Interviewer: Please record any notes or observations about the interview here.,Paper
2,,"3,1,7",2,1,2,1,1,1,2,2,1,3,1,1,3,1,1,2,1,4,3,5,1,2,1,2,1,2,4,3,4,1,,2,2,47,3,,3,2,,1,2,,,1,3,,
1,1,"5,7",3,1,4,"1,4",2,2,2,4,3,1,1,2,1,1,1,2,2,1,1,1,4,2,2,1,2,2,1,1,1,3,Zomi ,1,2,48,5,,5,2,,2,1,7,,3,3,,
1,2,"3,7",0,1,2,1,2,4,4,1,3,3,1,1,3,1,4,2,2,2,4,4,1,1,2,1,2,2,2,1,2,1,,1,4,58,2,,9,2,,1,2,,,2,2,,
1,2,7,2,1,1,"1,4",1,"1,4",1,"1,4",3,3,1,1,3,1,1,2,2,1,5,3,6,1,2,1,1,4,4,4,4,1,,2,2,51,1,,8,2,,2,1,1,,2,1,,
1,1,"5,7",2,1,2,2,2,2,2,2,1,3,3,1,3,1,1,2,2,2,5,5,1,1,2,1,1,2,2,2,1,1,,1,4,36,"1,2",,8,2,,1,1,,,1,1,,
1,2,7,0,1,4,2,2,2,2,2,1,1,1,1,3,1,4,2,2,2,5,5,6,1,2,1,2,1,1,1,1,3,Karen ,2,2,30,5,,6,2,,2,2,6,,1,2,,
1,3,"3,7",1,1,2,2,2,4,2,2,3,3,1,1,3,1,1,2,1,2,4,3,1,1,2,1,1,3,3,4,1,1,,2,2,29,2,,8,2,,2,1,1,,1,2,,
1,2,7,0,1,2,2,2,2,2,2,3,3,1,1,3,1,1,2,2,4,5,5,1,1,2,2,1,3,4,1,1,1,,1,4,27,2,,6,2,,2,,1,,2,1,,
1,2,"3,7",1,1,1,2,"1,4","1,4","1,4",2,3,3,1,1,3,1,1,2,1,4,5,5,2,1,1,2,1,3,3,1,2,1,,2,4,47,1,,5,2,,2,,1,,2,2,,
1,2,"3,7",0,1,4,2,4,4,4,2,3,3,1,1,3,1,1,2,1,2,2,3,2,1,2,1,1,4,4,3,2,1,,1,4,40,1,,1,2,,2,2,6,,2,2,,
1,2,"3,7",1,1,4,4,1,"1,4","1,4",2,1,3,1,3,2,1,4,1,1,4,1,2,3,1,1,3,1,3,3,3,4,1,,1,5,30,1,,7,2,,2,7,1,,2,3,,
1,2,7,1,1,2,2,2,2,2,2,3,3,1,1,3,1,1,2,2,2,3,3,2,2,1,1,2,1,1,1,1,1,,1,2,75,1,,5,1,,2,,"1,6",Have another doctor ,2,2,,
1,1,"5,7",0,1,2,4,2,2,2,4,1,3,2,3,1,1,4,2,2,3,3,3,1,2,1,2,2,1,1,1,1,3,Chinese,1,2,61,5,,9,2,,1,1,,,1,3,,
2,,"5,3,1,7",1,1,3,2,"1,4","1,4",1,1,1,3,1,1,1,1,3,1,2,3,4,1,4,1,2,1,1,4,4,4,3,1,,1,2,55,1,,4,2,,2,,6,Have Another doctor. ,1,1,,
1,1,"5,3,1,7",1,1,1,"1,4","1,4","1,4","1,4",1,3,3,1,1,3,1,3,1,1,1,4,5,2,1,1,1,1,3,4,2,4,1,,1,5,60,1,,2,2,,1,1,,,1,1,She owns her mobile home but pays lot rent. ,
1,1,7,0,1,3,1,3,3,3,3,1,1,1,1,3,1,3,2,2,1,5,5,5,2,2,2,2,1,1,1,1,7,,2,8,97,5,,1,2,,1,1,,,1,1,,
1,1,7,0,1,3,1,3,3,3,3,1,1,2,1,2,1,2,2,2,1,4,5,1,1,2,1,2,1,1,1,1,7,,1,2,67,5,,2,1,,1,1,,,1,1,,
1,1,6,0,1,3,3,3,3,3,3,1,3,1,1,2,1,3,2,2,1,5,5,1,1,4,2,2,1,1,1,1,7,,2,4,75,5,,1,2,,1,1,,,4,1,,
